LOCATION,TIME,Value_Million_USD,GDP_Growth,GDP_Growth_Percentage,Game_Copy_Sales,Game_Sales_Growth_Percentage
JPN,2006,4230713.9521,,,,
JPN,2007,4416227.659,185513.7069,4.38492672868881,46821848,
JPN,2008,4456434.3648,40206.7057999996,0.910431003665784,42201893,-9.86709238815179
JPN,2009,4250983.2048,-205451.159999999,-4.61021397785626,42263564,0.146133255207296
JPN,2010,4480784.4068,229801.202,5.40583650719954,43403440,2.69706549121129
JPN,2011,4573186.7921,92402.3853000002,2.06219217241899,30718665,-29.2252756924336
JPN,2012,4746699.3877,173512.5956,3.79412876595672,32687774,6.41013859163476
JPN,2013,4967051.5751,220352.1874,4.64221913801816,35508467,8.6291987946319
JPN,2014,4986566.2095,19514.6343999999,0.392881654336496,30322425,-14.6050855983166
JPN,2015,5142456.6867,155890.477200001,3.12620891111424,26584047,-12.3287566875011
JPN,2016,5245730.5431,103273.8564,2.0082591393934,23825870,-10.3753089211737
JPN,2017,5333444.382,87713.8388999999,1.67209958992985,25722637,7.96095588534647
USA,2006,13814609,,,,
USA,2007,14451860,637251,4.61287757040391,77622912,
USA,2008,14712845,260985,1.80589211354109,117765996,51.7155089466368
USA,2009,14448932,-263913,-1.79375912680382,104251783,-11.4754797301591
USA,2010,14992052,543120,3.75889373692118,126230297,21.0821468636177
USA,2011,15542582,550530,3.67214574762681,115595556,-8.42487204161454
USA,2012,16197007,654425,4.21052949889536,90867073,-21.3922436603013
USA,2013,16784851,587844,3.62933719791564,85106891,-6.33913012692728
USA,2014,17521747,736896,4.39024451274545,72367369,-14.9688489971981
USA,2015,18219297,697550,3.98105280255445,75797530,4.73992774284775
USA,2016,18707189,487892,2.67788597990362,71405410,-5.79454238152615
USA,2017,19485394,778205,4.15992482889867,66210421,-7.27534370294912
EU,2006,6986791.6553,,,,
EU,2007,7352162.5009,365370.8456,5.22945099304398,63544093,
EU,2008,7633214.749,281052.2481,3.82271539925287,98380959,54.8231383206618
EU,2009,7443544.9718,-189669.7772,-2.4847955080112,83096230,-15.5362675413644
EU,2010,7799502.0654,355957.093600001,4.78209099224296,89477013,7.67878759361285
EU,2011,8202828.7168,403326.6514,5.17118462201875,58916156,-34.1549812352364
EU,2012,8392648.5592,189819.842399999,2.3140778498914,66560129,12.9743240546787
EU,2013,8789709.4121,397060.8529,4.73105540044022,69922171,5.05113504212109
EU,2014,9124239.5701,334530.158,3.80592966520011,70177559,0.36524609626323
EU,2015,9376711.0677,252471.4976,2.7670415234092,75121965,7.04556566294932
EU,2016,9734342.8636,357631.795899998,3.81404304044234,75194434,0.0964684563296501
EU,2017,10266267.8807,531925.017100001,5.4644162893527,74523519,-0.892240242143454
Global,2006,25032114.6074,,,,
Global,2007,26220250.1599,1188135.5525,4.74644500128952,187988853,
Global,2008,26802494.1138,582243.953899998,2.22058885918051,258348848,37.4277484420845
Global,2009,26143460.1766,-659033.937199999,-2.45885302465444,229611577,-11.1234368654897
Global,2010,27272338.4722,1128878.2956,4.3180140959704,259110750,12.8474240652073
Global,2011,28318597.5089,1046259.0367,3.83633782547289,205230377,-20.7943410298492
Global,2012,29336354.9469,1017757.438,3.59395424748749,190114976,-7.36508952570895
Global,2013,30541611.9872,1205257.0403,4.10840761397101,190537529,0.222261816975429
Global,2014,31632552.7796,1090940.7924,3.57198170436196,172867353,-9.27385596566648
Global,2015,32738464.7544,1105911.9748,3.49611990693716,177503542,2.68193439625353
Global,2016,33687262.4067,948797.6523,2.89811284499064,170425714,-3.98742916352621
Global,2017,35085106.2627,1397843.856,4.1494729940477,166456577,-2.32895430322211