Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2009,Wii Sports,Wii,163,8925351,25927371,USA,159063.625766871
2010,Wii Sports,Wii,215,7172571,33099942,USA,153953.218604651
2011,Wii Sports,Wii,267,2436953,35536895,USA,133096.985018727
2012,Wii Sports,Wii,319,1505305,37042200,USA,116119.749216301
2013,Wii Sports,Wii,372,681413,37723613,USA,101407.561827957
2013,Kinect Adventures!,X360,166,977614,13241436,USA,79767.686746988
2012,Wii Sports Resort,Wii,179,1236708,13487281,USA,75347.938547486
2012,New Super Mario Bros. Wii,Wii,163,897750,12166616,USA,74641.8159509203
2011,Mario Kart Wii,Wii,192,2540943,12223052,USA,63661.7291666667
2010,Wii Play,Wii,203,705474,12417510,USA,61170
2013,Wii Sports Resort,Wii,232,651977,14139258,USA,60945.0775862069
2013,New Super Mario Bros. Wii,Wii,216,549466,12716082,USA,58870.75
2012,Mario Kart Wii,Wii,244,956729,13179781,USA,54015.4959016393
2014,New Super Mario Bros. Wii,Wii,267,351598,13067680,USA,48942.6217228464
2016,Grand Theft Auto V,X360,172,302010,8258163,USA,48012.5755813954
2012,Wii Fit Plus,Wii,169,431681,8047316,USA,47617.2544378698
2013,Mario Kart Wii,Wii,297,659801,13839582,USA,46597.9191919192
2014,Mario Kart Wii,Wii,348,376403,14215985,USA,40850.5316091954
2008,Nintendogs,DS,176,1675954,7121560,USA,40463.4090909091
2009,New Super Mario Bros.,DS,190,1655479,6782182,USA,35695.6947368421
2009,Nintendogs,DS,228,841434,7962994,USA,34925.4122807018
2010,New Super Mario Bros.,DS,242,1456546,8408286,USA,34744.9834710744
2011,New Super Mario Bros.,DS,294,1030518,9438804,USA,32104.7755102041
2017,Grand Theft Auto V,PS4,163,1023945,4945619,USA,30341.2208588957
2016,PokÃÂ©mon X/Y,3DS,169,614501,5009406,USA,29641.4556213018
2012,New Super Mario Bros.,DS,346,484574,9923378,USA,28680.2832369942
2016,MineCraft,X360,187,536085,5314874,USA,28421.7860962567
2010,Mario Kart DS,DS,268,2128800,7582157,USA,28291.6305970149
2011,Grand Theft Auto IV,X360,192,618674,5169819,USA,26926.140625
2009,Mario Kart DS,DS,216,1569796,5740378,USA,26575.8240740741
2018,Grand Theft Auto V,PS4,215,626272,5571891,USA,25915.7720930233
2014,Super Mario 3D Land,3DS,163,304809,4173769,USA,25605.9447852761
2011,Mario Kart DS,DS,320,580910,8163067,USA,25509.584375
2008,Mario Kart DS,DS,164,1535974,4170582,USA,25430.3780487805
2014,Mario Kart 7,3DS,160,449456,3734999,USA,23343.74375
2012,Grand Theft Auto IV,X360,244,497556,5667375,USA,23226.9467213115
2012,Mario Kart DS,DS,372,383070,8546137,USA,22973.4865591398
2017,Grand Theft Auto V,XOne,163,869555,3666928,USA,22496.490797546
2010,Mario Party DS,DS,163,1219001,3556521,USA,21819.1472392638
2011,Super Mario Galaxy,Wii,216,542140,4634407,USA,21455.587962963
2009,Brain Age: Train Your Brain in Minutes a Day,DS,194,470408,4097230,USA,21119.7422680412
2018,Grand Theft Auto V,XOne,215,659588,4326516,USA,20123.3302325581
2015,Mario Kart 7,3DS,213,481972,4216971,USA,19797.985915493
2012,Super Mario Galaxy,Wii,268,536905,5171312,USA,19295.9402985075
2017,Super Smash Bros. Wii U,3DS,170,220953,3277874,USA,19281.6117647059
2015,New Super Mario Bros. 2,3DS,176,340881,3313718,USA,18827.9431818182
2011,Grand Theft Auto IV,PS3,192,612689,3590289,USA,18699.421875
2016,Mario Kart,3DS,265,641744,4858715,USA,18334.7735849057
2013,Red Dead Redemption,X360,190,334116,3176579,USA,16718.8368421053
2012,Uncharted 2: Among Thieves,PS3,168,406062,2770292,USA,16489.8333333333
2017,Mario Kart,3DS,317,357927,5216642,USA,16456.2839116719
2012,Grand Theft Auto IV,PS3,244,406796,3997085,USA,16381.4959016393
2013,Gran Turismo 5,PS3,163,338469,2563780,USA,15728.7116564417
2018,Mario Kart,3DS,369,330241,5546883,USA,15032.2032520325
2017,MineCraft,XOne,163,398260,2346310,USA,14394.5398773006
2010,LEGO Star Wars: The Complete Saga,Wii,165,556464,2331235,USA,14128.696969697
2018,MineCraft,XOne,215,622414,2968724,USA,13808.0186046512
2007,Super Mario 64 DS,DS,162,468850,2172396,USA,13409.8518518519
2008,Super Mario 64 DS,DS,215,646528,2818924,USA,13111.2744186047
2009,Super Mario 64 DS,DS,267,632335,3451259,USA,12926.063670412
2017,The Last of Us,PS4,179,314904,2293056,USA,12810.3687150838
2011,LEGO Star Wars: The Complete Saga,Wii,217,440606,2771841,USA,12773.4608294931
2010,Super Mario 64 DS,DS,319,410381,3930665,USA,12321.8338557994
2008,Animal Crossing: Wild World,DS,161,528794,1962826,USA,12191.4658385093
2009,Cooking Mama,DS,173,495227,1899288,USA,10978.5433526012
2010,Cooking Mama,DS,225,415242,2314529,USA,10286.7955555556
2012,Batman: Arkham Asylum,X360,175,367756,1667800,USA,9530.28571428571
2017,MineCraft,PS4,169,237733,1574216,USA,9314.8875739645
2018,Tom Clancy's Rainbow Six: Siege,XOne,161,325208,1489996,USA,9254.63354037267
2018,Tom Clancy's Rainbow Six: Siege,PS4,161,327588,1190659,USA,7395.39751552795
2016,The Legend of Zelda: Ocarina of Time,3DS,289,302556,2058561,USA,7123.04844290657