Area,Duration,Data Number,Game Number,1 Year Sale Copy Sum,Avg Copy Sum,Total Weeks,Weeks Avg,Weeks Avg Per Game
Europe,Less 1 year,766,766,615079632,802976.020887728,15951,38560.5687417717,50.340168070198
Europe,1 - 2 year,292,292,180124733,616865.523972603,15184,11862.7985379347,40.6260223901872
Europe,2 - 3 year,76,76,55411696,729101.263157895,3952,14021.1781376518,184.489186021734
Europe,More than 3 year,66,36,51133681,1420380.02777778,3432,14899.0912004662,413.863644457394
Japan,Less 1 year,944,944,327377169,346797.848516949,24338,13451.2765633988,14.2492336476682
Japan,1 - 2 year,176,176,55630256,316081,9152,6078.48076923077,34.5368225524476
Japan,2 - 3 year,38,38,11952721,314545.289473684,1976,6048.94787449393,159.182838802472
Japan,More than 3 year,42,26,7658366,294552.538461538,2184,3506.57783882784,134.868378416455
USA,Less 1 year,774,774,736733626,951852.22997416,17181,42880.7185844829,55.4014451995903
USA,1 - 2 year,281,281,217874524,775354.177935943,14612,14910.6572679989,53.0628372526651
USA,2 - 3 year,74,74,61950350,837166.891891892,3848,16099.3633056133,217.558963589369
USA,More than 3 year,71,39,65634393,1682933.15384615,3692,17777.4628927411,455.832381865155
Global,Less 1 year,737,737,1644020180,2230692.23880597,16121,101980.037218535,138.371827976302
Global,1 - 2 year,305,305,543734022,1782734.49836066,15860,34283.3557377049,112.404445041655
Global,2 - 3 year,83,83,176222646,2123164.40963855,4316,40830.0848007414,491.928732539053
Global,More than 3 year,75,37,161649802,4368913.56756757,3900,41448.6671794872,1120.23424809425